id,lat,lon,highway,lamp_mount,lamp_type,light:count,material,lamp_ref,power,source,line_attachment,street_lamp,height,sidewalk_orientation,surface,colour,light_source,layer,direction,mapillary,transformer,design,guyed,line_management,transformer_bank,fixme,lit,note,lamp_flames,flag:name,flag:type,flag:wikidata,country,level,support,survey:date,light:height,mapillary:image,mapillary:map_feature
2573546883,45.3526952,-75.7508069,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573546886,45.3529606,-75.7499182,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600293141,45.4032541,-75.6517171,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600293142,45.4032836,-75.6523908,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600361194,45.2936716,-75.8791775,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600361198,45.2939146,-75.8789068,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600361227,45.2943808,-75.8788835,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600361234,45.2946205,-75.8791355,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792221,45.3303054,-75.5960565,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792224,45.3305061,-75.5966275,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792226,45.3307553,-75.595707,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792230,45.3309803,-75.5958301,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792231,45.3309872,-75.5964159,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600792232,45.3310529,-75.5961402,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616909466,45.2764758,-75.8645325,street_lamp,,led,1,concrete,101579,,City of Ottawa,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2630370579,45.3613778,-75.7519298,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630370593,45.3616582,-75.7520695,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635723227,45.3520538,-75.7540609,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635723230,45.352315,-75.7542453,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635756699,45.277768,-75.8601095,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635944635,45.3617718,-75.632627,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635944636,45.3619706,-75.6334396,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635944637,45.3620423,-75.6323736,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635944638,45.3626711,-75.6334166,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635944639,45.3626942,-75.6325579,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636063658,45.3665021,-75.6350942,street_lamp,straight_mast,led,1,metal,73964,,City of Ottawa,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2636063659,45.3666577,-75.6351445,street_lamp,straight_mast,led,1,metal,116643,,City of Ottawa,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2636063670,45.3668504,-75.6351104,street_lamp,straight_mast,led,1,metal,111065,,City of Ottawa,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064587,45.3624086,-75.6401671,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
